time,GB_Pos,GB_Neg,GB_Neu,GB_Total,US_Pos,US_Neg,US_Neu,US_Total,JP_Pos,JP_Neg,JP_Neu,JP_Total
2019-01-07 17:09:51.986000,5,0,2,7,4,1,5,10,0,0,3,3
2019-01-07 17:09:57.372000,5,0,1,6,6,1,1,8,0,0,2,2
2019-01-07 17:10:02.549000,2,0,2,4,4,2,1,7,1,0,0,1
2019-01-07 17:10:07.747000,2,2,2,6,4,0,1,5,0,0,1,1
2019-01-07 17:10:13.272000,2,0,3,5,5,2,1,8,0,0,0,0
2019-01-07 17:10:18.536000,0,2,1,3,0,0,1,1,0,0,1,1
2019-01-07 17:10:23.900000,1,0,1,2,3,1,8,12,0,0,2,2
2019-01-07 17:10:29.074000,1,2,2,5,3,0,1,4,0,0,0,0
2019-01-07 17:10:34.929000,0,1,1,2,1,0,3,4,0,0,4,4
2019-01-07 17:10:40.765000,1,1,1,3,2,1,1,4,0,0,4,4
2019-01-07 17:10:45.940000,4,0,3,7,3,0,4,7,0,0,0,0
2019-01-07 17:10:51.149000,1,0,3,4,5,1,4,10,0,0,0,0
2019-01-07 17:10:56.336000,3,0,0,3,1,0,4,5,0,0,3,3
2019-01-07 17:11:03.010000,4,2,1,7,4,1,1,6,0,0,0,0
2019-01-07 17:11:08.691000,0,0,2,2,3,1,6,10,0,0,0,0
2019-01-07 17:11:13.799000,2,0,0,2,3,0,4,7,0,0,2,2
2019-01-07 17:11:18.894000,2,0,4,6,2,4,3,9,0,0,2,2
2019-01-07 17:11:24.150000,4,0,1,5,3,1,5,9,0,0,0,0
2019-01-07 17:11:29.187000,2,1,3,6,1,0,6,7,0,0,0,0
2019-01-07 17:11:34.305000,5,0,7,12,2,1,3,6,0,0,0,0
2019-01-07 17:11:39.905000,0,0,5,5,1,1,5,7,1,0,1,2
2019-01-07 17:11:45.092000,2,0,2,4,4,1,2,7,0,0,1,1
2019-01-07 17:11:50.180000,1,0,3,4,5,2,2,9,0,0,0,0
2019-01-07 17:11:55.687000,4,2,0,6,4,1,2,7,0,0,0,0
2019-01-07 17:12:01.033000,1,1,5,7,2,1,4,7,0,0,1,1
2019-01-07 17:12:06.297000,1,0,5,6,1,2,5,8,0,0,3,3
2019-01-07 17:12:11.507000,1,0,1,2,4,1,3,8,2,0,1,3
2019-01-07 17:12:16.625000,0,1,6,7,1,0,1,2,0,0,1,1
2019-01-07 17:12:21.634000,3,0,2,5,1,0,2,3,0,0,0,0
2019-01-07 17:12:26.728000,0,0,3,3,2,1,1,4,0,0,1,1
2019-01-07 17:12:31.752000,1,0,1,2,4,2,2,8,0,0,0,0
2019-01-07 17:12:37.412000,1,0,3,4,1,0,3,4,0,0,3,3
2019-01-07 17:12:42.564000,0,0,2,2,0,0,2,2,0,0,3,3
2019-01-07 17:12:47.803000,3,0,3,6,4,3,4,11,0,0,1,1
2019-01-07 17:12:53.011000,2,1,0,3,3,0,5,8,1,0,3,4
2019-01-07 17:12:58.403000,0,1,2,3,2,0,7,9,0,0,3,3
2019-01-07 17:13:03.764000,0,0,1,1,3,1,7,11,0,0,5,5
2019-01-07 17:13:09.426000,2,1,3,6,2,2,4,8,0,0,2,2
2019-01-07 17:13:14.690000,1,1,3,5,3,0,3,6,0,1,1,2
2019-01-07 17:13:19.714000,1,0,4,5,1,1,7,9,0,0,1,1
2019-01-07 17:13:25.154000,0,0,4,4,1,2,2,5,0,0,1,1
2019-01-07 17:13:30.686000,2,0,4,6,2,4,4,10,0,0,4,4
2019-01-07 17:13:35.811000,1,1,1,3,1,0,5,6,0,0,2,2
2019-01-07 17:13:41.108000,3,1,4,8,3,1,2,6,0,0,1,1
2019-01-07 17:13:46.168000,1,2,5,8,2,2,3,7,0,0,0,0
2019-01-07 17:13:51.527000,0,1,2,3,1,3,4,8,0,0,1,1
2019-01-07 17:13:57.088000,3,0,3,6,1,1,3,5,0,0,0,0
2019-01-07 17:14:02.122000,0,1,4,5,4,0,3,7,0,0,2,2
2019-01-07 17:14:07.614000,2,1,1,4,3,1,3,7,0,0,1,1
2019-01-07 17:14:13.413000,1,1,2,4,6,0,3,9,0,0,4,4
2019-01-07 17:14:19.007000,2,2,2,6,5,0,4,9,0,0,1,1
2019-01-07 17:14:25.428000,1,0,3,4,1,0,4,5,0,0,2,2
2019-01-07 17:14:31.713000,2,0,0,2,5,1,0,6,0,1,2,3
2019-01-07 17:14:36.772000,1,0,4,5,2,0,3,5,0,0,0,0
2019-01-07 17:14:41.855000,1,0,1,2,4,2,3,9,0,0,1,1
2019-01-07 17:14:47.008000,1,1,4,6,2,0,3,5,0,0,0,0
2019-01-07 17:14:52.404000,2,0,2,4,0,1,0,1,0,0,2,2
2019-01-07 17:14:57.947000,0,1,1,2,1,1,3,5,0,0,1,1
2019-01-07 17:15:04.195000,2,0,3,5,2,1,0,3,0,0,1,1
